master_entity_id,party_count,total_pairs,unique_attributes,total_attribute_instances,fully_matching_attributes,contradicting_attributes,avg_pair_score,min_pair_score,max_pair_score,total_match_evidence,total_difference_evidence,evidence_match_ratio,avg_evidence_ratio_per_pair,created_at,updated_at,is_active
ENTITY_0001,4,6,10,32,10,0,1.0,1.0,1.0,37,0,1.0,1.0,2026-04-01T16:26:36.091075,2026-04-01T16:26:36.091082,True
ENTITY_0002,4,6,10,32,10,0,1.0,1.0,1.0,37,0,1.0,1.0,2026-04-01T16:26:36.094784,2026-04-01T16:26:36.094795,True
ENTITY_0003,3,3,10,26,10,0,1.0,1.0,1.0,19,0,1.0,1.0,2026-04-01T16:26:36.097539,2026-04-01T16:26:36.097544,True
ENTITY_0004,1,0,5,5,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.097706,2026-04-01T16:26:36.097707,True
ENTITY_0005,3,3,9,24,9,0,1.0,1.0,1.0,19,0,1.0,1.0,2026-04-01T16:26:36.099844,2026-04-01T16:26:36.099847,True
ENTITY_0006,1,0,6,6,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.100018,2026-04-01T16:26:36.100019,True
ENTITY_0007,1,0,6,6,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.100157,2026-04-01T16:26:36.100158,True
ENTITY_0008,1,0,6,6,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.100289,2026-04-01T16:26:36.100290,True
ENTITY_0009,1,0,6,6,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.100411,2026-04-01T16:26:36.100413,True
ENTITY_0010,1,0,2,2,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.100536,2026-04-01T16:26:36.100537,True
ENTITY_0011,2,1,8,16,8,0,1.0,1.0,1.0,6,0,1.0,1.0,2026-04-01T16:26:36.101550,2026-04-01T16:26:36.101551,True
ENTITY_0012,3,3,9,27,4,5,0.5926,0.4444,0.8889,10,11,0.4762,0.4762,2026-04-01T16:26:36.126070,2026-04-01T16:26:36.126076,True
ENTITY_0013,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.126413,2026-04-01T16:26:36.126415,True
ENTITY_0014,3,3,9,27,4,5,0.6296,0.4444,1.0,11,10,0.5238,0.5238,2026-04-01T16:26:36.188358,2026-04-01T16:26:36.188375,True
ENTITY_0015,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.240859,2026-04-01T16:26:36.240866,True
ENTITY_0016,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.243925,2026-04-01T16:26:36.243932,True
ENTITY_0017,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.245105,2026-04-01T16:26:36.245109,True
ENTITY_0018,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.245324,2026-04-01T16:26:36.245325,True
ENTITY_0019,2,1,9,18,8,1,0.8889,0.8889,0.8889,6,1,0.8571,0.8571,2026-04-01T16:26:36.246890,2026-04-01T16:26:36.246896,True
ENTITY_0020,2,1,9,18,7,2,0.7778,0.7778,0.7778,5,2,0.7143,0.7143,2026-04-01T16:26:36.248197,2026-04-01T16:26:36.248203,True
ENTITY_0021,1,0,1,1,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.248359,2026-04-01T16:26:36.248360,True
ENTITY_0022,3,3,9,27,9,0,1.0,1.0,1.0,21,0,1.0,1.0,2026-04-01T16:26:36.261930,2026-04-01T16:26:36.261937,True
ENTITY_0023,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.263093,2026-04-01T16:26:36.263096,True
ENTITY_0024,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.264151,2026-04-01T16:26:36.264154,True
ENTITY_0025,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.266713,2026-04-01T16:26:36.266718,True
ENTITY_0026,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.267825,2026-04-01T16:26:36.267827,True
ENTITY_0027,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.268795,2026-04-01T16:26:36.268797,True
ENTITY_0028,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.269759,2026-04-01T16:26:36.269761,True
ENTITY_0029,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.271254,2026-04-01T16:26:36.271259,True
ENTITY_0030,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.272407,2026-04-01T16:26:36.272415,True
ENTITY_0031,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.273407,2026-04-01T16:26:36.273408,True
ENTITY_0032,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.274376,2026-04-01T16:26:36.274378,True
ENTITY_0033,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.275326,2026-04-01T16:26:36.275327,True
ENTITY_0034,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.276256,2026-04-01T16:26:36.276257,True
ENTITY_0035,4,6,9,36,2,7,0.5,0.2222,1.0,19,23,0.4524,0.4524,2026-04-01T16:26:36.279563,2026-04-01T16:26:36.279564,True
ENTITY_0036,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.280502,2026-04-01T16:26:36.280504,True
ENTITY_0037,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.281422,2026-04-01T16:26:36.281423,True
ENTITY_0038,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.282342,2026-04-01T16:26:36.282343,True
ENTITY_0039,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.283255,2026-04-01T16:26:36.283257,True
ENTITY_0040,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.283373,2026-04-01T16:26:36.283375,True
ENTITY_0041,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.283486,2026-04-01T16:26:36.283487,True
ENTITY_0042,1,0,7,7,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.283602,2026-04-01T16:26:36.283603,True
ENTITY_0043,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.284521,2026-04-01T16:26:36.284522,True
ENTITY_0044,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.284636,2026-04-01T16:26:36.284637,True
ENTITY_0045,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.284747,2026-04-01T16:26:36.284748,True
ENTITY_0046,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.284862,2026-04-01T16:26:36.284863,True
ENTITY_0047,2,1,9,18,8,1,0.8889,0.8889,0.8889,6,1,0.8571,0.8571,2026-04-01T16:26:36.285783,2026-04-01T16:26:36.285785,True
ENTITY_0048,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.286702,2026-04-01T16:26:36.286703,True
ENTITY_0049,2,1,9,18,9,0,1.0,1.0,1.0,7,0,1.0,1.0,2026-04-01T16:26:36.287619,2026-04-01T16:26:36.287620,True
ENTITY_0050,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.287735,2026-04-01T16:26:36.287736,True
ENTITY_0051,2,1,9,18,8,1,0.8889,0.8889,0.8889,6,1,0.8571,0.8571,2026-04-01T16:26:36.288660,2026-04-01T16:26:36.288662,True
ENTITY_0052,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.288776,2026-04-01T16:26:36.288777,True
ENTITY_0053,1,0,7,7,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.288886,2026-04-01T16:26:36.288887,True
ENTITY_0054,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289000,2026-04-01T16:26:36.289002,True
ENTITY_0055,1,0,7,7,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289109,2026-04-01T16:26:36.289110,True
ENTITY_0056,1,0,7,7,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289217,2026-04-01T16:26:36.289218,True
ENTITY_0057,1,0,7,7,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289323,2026-04-01T16:26:36.289324,True
ENTITY_0058,1,0,7,7,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289431,2026-04-01T16:26:36.289433,True
ENTITY_0059,1,0,7,7,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289541,2026-04-01T16:26:36.289542,True
ENTITY_0060,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289705,2026-04-01T16:26:36.289707,True
ENTITY_0061,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.289975,2026-04-01T16:26:36.289997,True
ENTITY_0062,1,0,3,3,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.290276,2026-04-01T16:26:36.290278,True
ENTITY_0063,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.290414,2026-04-01T16:26:36.290415,True
ENTITY_0064,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.290605,2026-04-01T16:26:36.290607,True
ENTITY_0065,1,0,9,9,0,0,0.0,1.0,0.0,0,0,0.0,0.0,2026-04-01T16:26:36.290739,2026-04-01T16:26:36.290740,True
